id,host_id,host_neighbourhood,host_listings_count,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
33608260,221525713,SoMa,4,4,South of Market,Private room in condominium (condo),Private room,1,,1.5 baths,1,1,$59.00 ,30,1125,5,4.8,f,1.21
33608274,221525713,SoMa,4,4,Mission,Private room in condominium (condo),Private room,1,,2.5 shared baths,1,1,$55.00 ,30,1125,6,4.89,f,1.66
33634536,107434423,Cambridge,2433,2433,Downtown/Civic Center,Entire rental unit,Entire home/apt,2,,1 bath,,1,$199.00 ,30,1125,0,,t,
33644460,216480693,Outer Sunset,4,4,Outer Sunset,Private room in residential home,Private room,4,,1 private bath,1,2,$69.00 ,1,27,98,4.85,t,6.6
33667375,44934464,The Castro,1,1,Castro/Upper Market,Private room in residential home,Private room,2,,1 private bath,1,1,$136.00 ,1,29,148,4.99,f,10.23
33713266,2146719,Bayview,12,12,Bayview,Private room in residential home,Private room,2,,1 shared bath,1,1,$44.00 ,30,180,4,4.65,f,0.74
33745682,105631670,Parkside,1,1,Parkside,Private room in rental unit,Private room,2,,1 private bath,1,1,$400.00 ,30,45,0,,t,
33769639,34102518,Union Square,3,3,Chinatown,Private room in resort,Private room,2,,1 shared bath,1,1,$350.00 ,1,3,0,,f,
33773572,7556101,Bernal Heights,1,1,Bernal Heights,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$172.00 ,2,28,62,4.97,f,4.98
33781225,133894957,Parkside,5,5,Parkside,Entire rental unit,Entire home/apt,4,,1 bath,,2,$100.00 ,1,24,34,4.51,f,2.85
33784880,251857916,SoMa,2,2,South of Market,Entire rental unit,Entire home/apt,2,,1 bath,,1,$110.00 ,30,1125,0,5,f,0.03
33818649,32940115,Bayview,0,0,Bayview,Entire condominium (condo),Entire home/apt,6,,2 baths,2,2,$198.00 ,180,1125,0,,t,
33830997,48005494,Sunnyvale,1106,1106,Western Addition,Entire serviced apartment,Entire home/apt,2,,1 bath,1,1,$168.00 ,30,1125,2,4.67,t,0.24
33859591,1700823,Marina,5,5,Marina,Entire condominium (condo),Entire home/apt,5,,2 baths,3,3,$304.00 ,60,730,0,,f,
33873677,27376425,Marina,0,0,Marina,Entire condominium (condo),Entire home/apt,2,,1 bath,1,1,$300.00 ,30,1125,0,4.9,f,0.35
33900698,2767171,Bayview,1,1,Bayview,Entire guest suite,Entire home/apt,4,,1 bath,2,3,$103.00 ,25,1125,0,4.91,f,1.06
33907636,4430421,Noe Valley,92,92,Downtown/Civic Center,Entire rental unit,Entire home/apt,2,,1 bath,,1,$87.00 ,30,150,0,,f,
33930957,107434423,Cambridge,2433,2433,South of Market,Entire rental unit,Entire home/apt,4,,2 baths,2,2,$287.00 ,30,1125,0,,t,
33935404,97159379,Pacific Heights,56,56,Pacific Heights,Entire condominium (condo),Entire home/apt,2,,1 bath,1,1,$150.00 ,30,1125,2,4,f,0.1
33941862,6573095,Duboce Triangle,0,0,Castro/Upper Market,Entire rental unit,Entire home/apt,5,,2 baths,3,2,$225.00 ,30,150,0,,t,
33942157,239782467,SoMa,7,7,South of Market,Room in hotel,Hotel room,2,,1 bath,1,1,$283.00 ,1,1125,0,4.12,t,11.04
33960503,2208838,Pacific Heights,1,1,Pacific Heights,Entire condominium (condo),Entire home/apt,2,,1 bath,1,1,$95.00 ,30,90,2,4.75,f,0.28
33969322,239782467,SoMa,7,7,South of Market,Room in hotel,Hotel room,4,,1 bath,1,2,$337.00 ,1,1125,0,4.19,t,8.5
33974085,3244683,Richmond District,1,1,Outer Richmond,Entire residential home,Entire home/apt,8,,2.5 baths,3,4,$790.00 ,3,26,7,5,f,0.73
33991821,239782467,SoMa,7,7,South of Market,Room in hotel,Hotel room,2,,1 private bath,1,1,$328.00 ,1,25,0,4.18,t,2.04
33992126,239782467,SoMa,7,7,Downtown/Civic Center,Room in hotel,Hotel room,2,,1 bath,1,1,$346.00 ,1,1125,0,4.29,t,1.28
